grant_id,feature_name,cluster_id,resource_id,service_id,start_time,end_time
2313138,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,632cd797d4b5755a90fef3fcbf1dd426dae91055,TranscoderService,2022-09-19T17:45:50Z,2022-09-19T17:45:56Z
2313224,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,38e57765342e1f8d7010d7168eb4d846a19bdc5b,TranscoderService,2022-09-19T17:45:57Z,2022-09-19T17:46:03Z
2313403,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,52f6b08fdb0af145d811ffdc48950d585dd1d373,TranscoderService,2022-09-19T17:46:10Z,2022-09-19T17:46:18Z
2313890,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,a2bb03236a4a6f56583d7471e815672a13db7e14,TranscoderService,2022-09-19T17:48:08Z,2022-09-19T17:48:18Z
2313894,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,07cfec567701de1fa68da8f224b72ef758ad0fa8,TranscoderService,2022-09-19T17:48:09Z,2022-09-19T17:48:20Z
2314047,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,9078e47449d9d0e73189c96c3c67d675e5dd2cd4,TranscoderService,2022-09-19T17:48:19Z,2022-09-19T17:48:26Z
2314183,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,7797f6504208ca84e37db26d913a45b1392eed0c,TranscoderService,2022-09-19T17:51:12Z,2022-09-19T17:51:15Z
2315066,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,88e71f6216535702297c118b63a99c1462bf49cc,TranscoderService,2022-09-19T18:00:39Z,2022-09-19T18:00:51Z
2315749,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,27cd3fd04db74628910834bc42d7669b8983208d,TranscoderService,2022-09-19T18:02:19Z,2022-09-19T18:02:24Z
2316218,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,a8abc5ffe247d6b17fe5f0b2aa879659e31557f9,TranscoderService,2022-09-19T18:03:08Z,2022-09-19T18:03:13Z
2316222,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4a2959dd4b8146463a39be623fec8be0fc0dbb56,TranscoderService,2022-09-19T18:03:09Z,2022-09-19T18:03:15Z
2316216,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,ec41a932554959d36f208410f16be28f1ff873b0,TranscoderService,2022-09-19T18:03:08Z,2022-09-19T18:03:18Z
2317831,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,6ce2319cfd25239d2c44d329999a971c319da801,TranscoderService,2022-09-19T18:19:18Z,2022-09-19T18:19:32Z
2317413,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,ccb4dcfd4339073855d14c4d240f24d94f348412,TranscoderService,2022-09-19T18:18:56Z,2022-09-19T18:19:05Z
2317371,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,564fbdb78665105b39b78bfc4b455713eb52d3fb,TranscoderService,2022-09-19T18:18:51Z,2022-09-19T18:19:09Z
2317725,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,961e9d10458eb5f0518b7ecb05f0e7fd1a2c0416,TranscoderService,2022-09-19T18:19:17Z,2022-09-19T18:19:37Z
2318143,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,d492b7142b8d6246657b1294772137a8ebf5bd37,TranscoderService,2022-09-19T18:19:44Z,2022-09-19T18:20:25Z
2318803,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,b4f79ecf094690c6c22e32e1ae985a910a2031ca,TranscoderService,2022-09-19T18:20:26Z,2022-09-19T18:20:35Z
2318529,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,652321fbb258d71964e46ee87bbb8dca88fc65be,TranscoderService,2022-09-19T18:20:08Z,2022-09-19T18:20:18Z
2318832,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,5999b4f45850c2305835b35a55dce89d3659787b,TranscoderService,2022-09-19T18:20:28Z,2022-09-19T18:20:53Z
2319078,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,41d8ee6f32fa1603f04412496452e03f634f80bc,TranscoderService,2022-09-19T18:20:47Z,2022-09-19T18:20:56Z
2319159,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,6cb614350f2d6753b2e22555ce66d7357925306a,TranscoderService,2022-09-19T18:20:51Z,2022-09-19T18:20:59Z
